Category,Module Name,Purpose / Output Goal,Dependencies & Notes,Expertise Level,Team,OS,Application,Pre Config,Compliance Mapping
CI/CD Pipeline & Build,test_coverage_monitor,Warn when code coverage drops below threshold,Coverage reports; reporting API,Level 2,DevOps Team,Platform agnostic,SonarQube/Codecov,Coverage thresholds defined; CI integration configured,
CI/CD Pipeline & Build,container_build_scanner,Analyze container images for CVEs before deployment,Container registry API; Trivy/Clair,Level 3,DevOps Team,"Linux, Windows",Trivy/Clair,Registry credentials configured; Image list imported,
CI/CD Pipeline & Build,dockerfile_linter,Validate best practices and security in Dockerfiles,Dockerfile parser; lint tool,Level 2,DevOps Team,Platform agnostic,Hadolint,Lint rules loaded,
CI/CD Pipeline & Build,helm_chart_linter,"Enforce policy in Helm charts (values, templates, RBAC)",Helm CLI; kubeval,Level 2,DevOps Team,Linux,Helm,Chart repos configured,
IaC & Configuration Management,terraform_plan_analyzer,"Detect insecure changes (open ports, IAM permissions) in Terraform plans",Terraform plan JSON; policy engine,Level 3,DevOps & Security Team,Platform agnostic,Terraform,Policy repo access configured,
IaC & Configuration Management,terraform_state_drift_detector,Alert when real infrastructure diverges from Terraform state,Terraform state; API access,Level 3,DevOps & Security Team,Platform agnostic,Terraform,State bucket configured; Drift baseline defined,
IaC & Configuration Management,cloudformation_linter,Enforce AWS best practices and security in CloudFormation templates,cfn-lint; AWS CLI,Level 3,DevOps & Security Team,Platform agnostic,cfn-lint,Template repos configured,
IaC & Configuration Management,ansible_playbook_syntax_checker,Validate Ansible YAML and roles for errors and insecure settings,ansible-lint; playbook repository,Level 3,DevOps & Security Team,Linux,ansible-lint,Role paths configured,
IaC & Configuration Management,puppet_manifest_validator,Check Puppet code for syntax and policy violations,puppet parser; policy engine,Level 3,DevOps & Security Team,Linux,puppet parser,Manifest paths configured,
IaC & Configuration Management,chef_policy_scanner,Ensure Chef cookbooks comply with security and style guides,cookstyle; Chef audit mode,Level 3,DevOps & Security Team,Linux,cookstyle,Cookbook paths configured,
IaC & Configuration Management,opa_policy_compliance,Apply OPA policies against all IaC artifacts,OPA CLI; IaC repos,Level 4,DevOps & Security Team,Platform agnostic,OPA,Policy repo URL configured; OPA credentials loaded,
IaC & Configuration Management,gitops_repo_scanner,Monitor Git repos for unauthorized changes to live clusters,GitHub/GitLab API; diff tool,Level 3,DevOps Team,Platform agnostic,GitHub/GitLab API,Repo webhooks configured,
Secrets Management,vault_policy_audit,Audit HashiCorp Vault policies and secret ACLs,Vault API; policy list,Level 3,Security Ops Team,Platform agnostic,Vault,Vault address and token configured,
Secrets Management,secret_rotation_monitor,Ensure credentials are rotated per schedule,Vault/AWS Secrets Manager API; rotation schedule,Level 3,Security Ops Team,Platform agnostic,Vault/AWS Secrets,Rotation schedule defined,
Cloud Provisioning & Orchestration,aws_resource_inventory,"List and classify AWS resources (EC2, S3, RDS, etc.)",AWS SDK; IAM read permissions,Level 2,Cloud Ops Team,Platform agnostic,AWS SDK,AWS credentials configured,
Cloud Provisioning & Orchestration,azure_resource_inventory,"Discover Azure VMs, storage, databases, and services",Azure SDK; RBAC read permissions,Level 2,Cloud Ops Team,Platform agnostic,Azure SDK,Azure service principal configured,
Cloud Provisioning & Orchestration,gcp_resource_inventory,"Enumerate GCP compute, storage, and networking resources",GCP SDK; IAM viewer role,Level 2,Cloud Ops Team,Platform agnostic,GCP SDK,Service account key configured,
Cloud Provisioning & Orchestration,cloud_cost_optimizer,Identify underutilized or idle resources to reduce spend,Cloud billing API; usage data,Level 3,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP Billing,Billing API credentials configured,
Cloud Provisioning & Orchestration,auto_scaling_policy_checker,Validate scaling rules and thresholds,Cloud SDK; scaling group configs,Level 3,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP SDK,Scaling policies loaded,
Cloud Provisioning & Orchestration,cloud_tagging_compliance,Enforce tagging policies for cost and ownership tracking,Cloud SDK; tag policies,Level 3,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP SDK,Tag policy definitions loaded,
Cloud Provisioning & Orchestration,kubernetes_cluster_audit,"Audit K8s cluster settings, RBAC, network policies",kubectl; K8s API,Level 3,DevOps Team,Linux,kubectl,Kubeconfig configured,
Cloud Provisioning & Orchestration,service_mesh_config_scanner,Validate Istio/Linkerd configs against security best practices,Istio/Linkerd APIs,Level 4,DevOps Team,Linux,Istio/Linkerd,Mesh control plane access configured,
Configuration Drift & Baseline,config_baseline_compare,Detect deviations from approved configuration profiles,Baseline profiles; diff engine,Level 2,SysAdmin Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline profiles loaded,
Configuration Drift & Baseline,registry_autorun_monitor,Track unexpected registry autoruns on Windows,Windows registry API; agent,Level 2,SysAdmin Team,Windows,Agent (Tenantra),Agent installed with registry access,
Configuration Drift & Baseline,cron_job_audit,Verify scheduled tasks against policy,cron/Task Scheduler access; agent,Level 2,SysAdmin Team,"Linux, Windows",Agent (Tenantra),Agent installed; scheduled tasks list imported,
Configuration Drift & Baseline,ssh_config_scanner,Ensure SSHD settings meet security standards,SSHD config file access; agent,Level 2,SysAdmin Team,Linux,Agent (Tenantra),SSHD config baseline loaded,
Configuration Drift & Baseline,firewall_rule_drift_detector,Alert on changes to iptables/NSG/SG rules,Firewall API; agent,Level 2,SysAdmin Team,"Linux, Windows Azure/NSG",Agent (Tenantra),Baseline rules loaded; Agent configured,
Configuration Drift & Baseline,dns_config_validator,"Check resolver, forwarder, and zone file consistency",DNS server config access; agent,Level 2,SysAdmin Team,"Linux, Windows",Agent (Tenantra),DNS configs loaded,
Configuration Drift & Baseline,ntp_config_monitor,Ensure NTP servers are authorized and reachable,NTP config; agent,Level 2,SysAdmin Team,"Windows, Linux, macOS",Agent (Tenantra),NTP server list loaded; Agent configured,
Configuration Drift & Baseline,storage_quota_monitor,Warn when filesystems approach defined quotas,FS quota support; agent,Level 2,SysAdmin Team,"Linux, Windows",Agent (Tenantra),Quota policies defined,
Performance & Availability Monitoring,cpu_usage_monitor,Track host CPU saturation and spikes,System metrics exporter; monitoring server,Level 1,DevOps Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; scrape config loaded,
Performance & Availability Monitoring,memory_usage_monitor,Alert on excessive RAM usage,System metrics exporter; monitoring server,Level 1,DevOps Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; scrape config loaded,
Performance & Availability Monitoring,disk_io_monitor,Monitor read/write throughput for bottlenecks,Disk metrics exporter; monitoring server,Level 1,DevOps Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; scrape config loaded,
Performance & Availability Monitoring,network_latency_tracker,Measure and alert on network round-trip times,Latency probe; monitoring integration,Level 1,DevOps Team,"Windows, Linux, macOS",Prometheus,Probes configured; scrape config loaded,
Performance & Availability Monitoring,pod_health_monitor,Watch Kubernetes pod statuses and restarts,K8s API; metrics-server,Level 1,DevOps Team,Linux,kubectl,Metrics-server installed; kubeconfig configured,
Performance & Availability Monitoring,node_capacity_tracker,"Alert when nodes hit CPU, memory, or disk limits",K8s API; metrics-server,Level 1,DevOps Team,Linux,kubectl,Metrics-server installed; kubeconfig configured,
Performance & Availability Monitoring,uptime_sla_tracker,Verify systems meet uptime SLAs,Uptime monitor; SLAs definitions,Level 1,DevOps Team,"Windows, Linux, macOS",Tenantra SLAM,SLA definitions imported; Uptime monitor endpoints configured,
Performance & Availability Monitoring,response_time_alert,Warn when application endpoints respond too slowly,HTTP probe; monitoring integration,Level 1,DevOps Team,Platform agnostic,Prometheus,Probe endpoints configured; scrape config loaded,
Backup & Disaster Recovery,backup_job_monitor,Ensure scheduled backups complete successfully,Backup system API; job logs,Level 2,Internal IT Team,"Windows, Linux",Veeam/Azure/AWS Backup,Backup schedules defined; API credentials loaded,
Backup & Disaster Recovery,snapshot_consistency_checker,Validate integrity of filesystem or VM snapshots,Snapshot API or tool; integrity check,Level 3,Internal IT Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Snapshot targets defined; Integrity check script configured,
Backup & Disaster Recovery,replication_status_monitor,Track success of data replication between sites,Replication API; monitoring server,Level 3,Internal IT Team,"Windows, Linux",SAN/NAS Replicator,Replication jobs configured; Monitoring endpoints defined,
Backup & Disaster Recovery,failover_test_scheduler,Automate periodic DR failover drills,Orchestration tool; failover playbooks,Level 3,Internal IT Team,Platform agnostic,Ansible/Terraform,Playbooks imported; Schedule defined,
Backup & Disaster Recovery,rpo_rto_compliance_checker,Ensure RPO/RTO objectives are met,DR plan documentation; monitoring data,Level 3,Internal IT Team,Platform agnostic,Tenantra SLAM,RPO/RTO thresholds loaded; Monitoring endpoints configured,
Backup & Disaster Recovery,disaster_recovery_plan_validator,Check DR documentation and runbook currency,DR plan repo; version control,Level 3,Internal IT Team,Platform agnostic,GitHub/GitLab,DR plans imported; Version check policies configured,
Logging & Observability,log_collection_status,Verify agents are shipping logs to central store,Log shipper; log store API,Level 2,DevOps Team,"Windows, Linux, macOS",Elasticsearch/Logstash,Shippers configured; Log store credentials loaded,
Logging & Observability,log_format_validation,Ensure logs conform to expected schema,Schema definitions; parser,Level 2,DevOps Team,"Windows, Linux, macOS",Agent (Tenantra),Schema files imported; Parser configured,
Logging & Observability,elasticsearch_cluster_audit,Monitor ES cluster health and index status,Elasticsearch API; cluster stats,Level 3,DevOps Team,Linux,Elasticsearch,Cluster endpoints configured; SSL certs loaded,
Logging & Observability,grafana_dashboard_monitor,Alert on missing or misconfigured dashboards,Grafana API; dashboard list,Level 2,DevOps Team,Linux,Grafana,API token configured; Dashboard IDs imported,
Logging & Observability,prometheus_scrape_health,Check Prometheus targets are up and supplying metrics,Prometheus API; target list,Level 2,DevOps Team,Linux,Prometheus,Target list imported; API token configured,
Logging & Observability,tracing_service_scanner,Validate distributed tracing configuration,Jaeger/Zipkin API; service-level spans,Level 3,DevOps Team,Linux,Jaeger/Zipkin,Collector endpoint configured; Service names imported,
Security & Compliance,cis_benchmark,Map & monitor CIS control drift,Baseline CIS profiles; agent,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline CIS profiles imported; Agent installed with elevated rights,
Security & Compliance,iso_27001_check,Assess ISO 27001 control status,ISO control catalog; scheduled scans,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),ISO catalog imported; Scan schedule configured,
Security & Compliance,nist_mapping,Correlate assets to NIST CSF/800-53 controls,Mapping index; compliance DB,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Compliance DB,Mapping index imported; DB user permissions configured,
Security & Compliance,pci_dss_check,Detect PCI-DSS policy violations,PCI profiles; encryption/segn policies,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),PCI profiles configured; Agent running with admin rights,
Security & Compliance,gdpr_audit,Verify GDPR data-handling compliance,DLP integration; PII patterns,Level 3,Security & Compliance Team,"Windows, Linux, macOS",DLP/Agent,PII patterns loaded; DLP endpoint configured,
Security & Compliance,sox_compliance_check,Audit SOX control adherence,SOX control matrix; audit logs,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),SOX matrix imported; Log collectors configured,
Security & Compliance,hipaa_compliance_checker,Evaluate HIPAA safeguard implementation,HIPAA policy library; DLP integration,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),HIPAA policies imported; DLP connectors configured,
